,case_id,activity,participant,cpoint,length
10,42,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 72, 74, 74, 74, 74, 74, 590, 590, 571, 598, 598, 569, 571, 571, 512, 559, 571, 598, 598, 598, 598, 598, 598, 571, 571, 513, 513, 569, 507, 571, 571, 569, 570, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598]",KP12-no,48,69
11,48,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 50, 50, 75, 75, 76, 73, 73, 412, 360, 412, 360, 412, 412, 360, 412, 360, 440, 440, 440, 440, 440, 440, 360, 362, 362, 362, 362, 440, 440, 440, 440, 440, 440, 440, 440, 440, 440, 440, 440, 440, 412, 361, 361, 361, 361, 493, 412, 360, 440, 440, 440, 440, 430]",KP12-no,57,69
12,49,"[5, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 74, 72, 75, 73, 75, 77, 76, 77, 78, 79, 78, 854, 854, 854, 802, 854, 803, 803, 802, 854, 805, 805, 806, 806, 806, 806, 806, 806, 882, 854, 882, 882, 882, 882, 882, 882, 801, 801, 882, 882, 882, 882, 882, 882, 882, 801, 852, 854, 853, 938, 882, 882, 882, 882, 882, 882, 882, 938, 854, 854, 806, 882, 882, 876]",KP12-no,71,99
13,50,"[82, 195, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 76, 77, 76, 76, 76, 76, 67, 82, 722, 670, 722, 722, 722, 669, 673, 673, 671, 707, 722, 722, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 722, 722, 722, 670, 673, 673, 673, 673, 673, 673, 669, 669, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 697, 671, 671, 722, 671, 669, 669, 669, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748]",KP12-no,35,108
14,56,"[52, 177, 82, 82, 177, 177, 82, 82, 82, 177, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 6, 5, 1, 1, 3, 50, 0, 77, 82, 177, 177, 82, 82, 82, 82, 82, 73, 75, 76, 78, 78, 177, 82, 82, 82, 82, 82, 82, 74, 75, 82, 77, 77, 72, 75, 76, 76, 571, 511, 508, 513, 513, 656, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 656, 598, 598, 598, 598, 513, 513, 598, 598, 598, 598, 598, 598, 598, 598, 512, 512, 512, 512, 513, 571, 598, 598, 598, 573, 598, 598, 598, 598, 598, 598, 598, 513, 561, 569, 560, 571, 571, 512, 512, 512, 512, 512, 512, 512, 512, 559, 569, 570, 570, 571, 571, 571, 513, 656, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 656, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 571, 513, 513, 513, 571, 513, 571, 571, 598, 598, 656, 598, 598, 513, 513, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 571, 571, 560, 571, 513, 513, 561, 598, 656, 598, 598, 598, 598, 598, 598, 598, 656, 573, 571, 571, 561, 561, 561, 571, 561, 571, 559, 571, 573, 598, 598, 598, 598]",KP13-no,94,225
15,62,"[175, 175, 82, 175, 175, 175, 175, 82, 82, 82, 82, 82, 82, 50, 82, 82, 82, 82, 101, 51, 175, 175, 82, 175, 175, 82, 82, 2, 2, 5, 5, 18, 3, 50, 4, 0, 0, 1, 1, 2, 34, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 50, 214, 258, 207, 201, 199, 201, 287, 287, 287, 287, 210, 198, 202, 202, 203, 207, 201, 201, 277, 279, 280, 361, 361, 359, 412, 412, 440, 440, 440, 412, 360, 360, 440, 440, 440, 440, 360, 440, 440, 440, 440, 440, 440, 440, 440, 440, 440, 440, 440, 493, 360, 362, 361, 412, 361, 361, 440, 440, 493, 413, 412, 361, 361, 361, 361, 393, 360, 360, 412, 440, 493, 440, 493, 361, 361, 361, 360, 360, 493, 440, 360, 360, 362, 362, 440, 440, 440, 440, 440, 360, 395, 412, 412, 412, 440]",KP13-no,85,150
16,63,"[178, 178, 82, 82, 82, 82, 82, 50, 5, 3, 4, 32, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 72, 75, 74, 75, 76, 76, 50, 0, 6, 6, 1, 76, 75, 571, 512, 508, 511, 513, 513, 510, 510, 509, 590, 365, 363, 364, 364, 412, 364, 412, 440, 440, 440, 359, 364, 364, 361, 361, 360, 363, 363, 365, 387, 366, 362, 431, 434, 281, 258, 258, 199, 507, 507, 513, 513, 512, 512, 571, 509, 510, 591, 804, 801, 801, 806, 805, 806, 806, 806, 806, 893, 854, 809, 805, 854, 882, 882, 882, 882, 854, 824, 938, 938, 854, 854, 854, 803, 805, 854, 854, 852, 854, 801, 801, 801, 801, 806, 882, 882, 882, 882, 882, 882, 801, 806, 806, 854, 854, 852, 851, 854, 853, 854, 882, 882, 882, 806, 854, 851, 852, 801, 853, 806, 852, 801, 854, 853, 882, 882, 882, 882, 882, 801, 806, 938]",KP13-no,88,159
17,64,"[82, 82, 82, 82, 82, 82, 82, 50, 1, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 25, 3, 29, 44, 2, 6, 50, 79, 166, 82, 82, 77, 75, 75, 75, 77, 78, 854, 814, 803, 805, 806, 806, 801, 807, 949, 882, 882, 882, 882, 854, 803, 820, 807, 807, 807, 801, 801, 806, 805, 880, 805, 805, 805, 879, 880, 981, 1060, 1060, 1060, 1079, 1081, 1107, 1116, 1118, 571, 571, 571, 571, 511, 511, 571, 571, 509, 509, 592, 412, 412, 412, 360, 360, 408, 359, 364, 412, 365, 363, 363, 412, 362, 366, 412, 360, 372, 360, 361, 506, 440, 440, 440, 440, 506, 440, 430, 440, 440, 487, 1167, 1169, 1169, 1167, 1167, 1173, 1176, 1176, 1193, 1156, 1156, 1156, 1156, 1156, 1156, 1167, 1156, 1174, 1167, 1177, 1158, 1180, 50, 5, 50, 15, 16, 50, 3, 82, 82, 82, 82, 82, 47, 50, 5, 50, 50, 8, 29, 0, 0, 72, 72, 72, 72, 82, 82, 82, 77, 75, 76, 76, 412, 377, 377, 360, 412, 412, 412, 440, 440, 440, 506, 365, 412, 363, 359, 364, 361, 412, 360, 377, 366, 362, 434, 433, 440, 440, 431, 434, 432, 487, 258, 209, 203, 198, 287, 287, 287, 287, 287, 287, 287, 295, 201, 200, 200, 258, 287, 281, 280, 284, 283, 571, 511, 571, 571, 571, 507, 512, 509, 509, 571, 546, 549, 667, 748, 722, 684, 674, 674, 669, 722, 669, 669, 669, 722, 748, 748, 748, 778, 748, 722, 674, 722, 673, 720, 722, 718, 670, 670, 722, 684, 674, 718, 718, 684, 722, 692, 722, 722, 669, 722, 671, 671, 671, 671, 671, 671, 671, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 669, 669, 671, 671, 748, 748, 748, 748, 748, 722, 671, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 748, 722, 669, 722, 748, 748, 722, 669, 722, 722, 671, 671, 669, 722, 690, 690, 671, 697, 669, 722, 722, 722, 722, 698, 722, 722, 722, 722, 671, 671, 669, 669, 722, 722, 722, 748, 748, 748, 748, 748, 748, 748, 748, 799, 748, 698, 697, 722, 698, 669, 748, 748, 748, 748, 799, 722, 722, 690, 689, 689, 689, 722, 690, 722, 699, 748, 748, 748, 722, 722, 722, 722, 722, 690, 748, 748, 748, 722, 722, 722, 689, 699, 699, 699, 702, 699, 671, 671, 669, 722, 669, 722, 671, 722, 669, 722, 677, 704, 722, 669, 704, 699, 669, 669, 677, 679, 671, 669, 722, 669, 669, 669, 722, 671, 671, 748, 748, 748, 799, 799, 799, 748]",KP13-no,294,463
18,70,"[74, 104, 177, 52, 82, 82, 82, 82, 177, 177, 82, 82, 82, 50, 1, 5, 5, 50, 50, 82, 82, 82, 82, 75, 75, 74, 50, 5, 50, 50, 50, 1, 258, 258, 258, 258, 258, 200, 258, 278, 371, 360, 360, 412, 412, 412, 363, 365, 359, 361, 435, 440, 598, 513, 571, 571, 571, 513, 656, 598, 598, 598, 598, 598, 598, 507, 598, 598, 598, 598, 598, 598, 611, 649, 598, 598, 598, 598, 598, 598, 507, 612, 573, 573, 598, 598, 598, 571, 513, 513, 507, 598, 598, 598, 598, 598, 598, 571, 507, 507, 507, 507, 507, 507, 598, 598, 512, 512, 656, 598, 598, 598, 598, 598, 571, 656, 598, 598, 571, 513, 571, 598, 598, 598, 571, 561, 560, 513, 571, 565, 571, 561, 571, 513, 571, 571, 598, 598, 598, 598, 598, 571, 571, 513, 513, 513, 561, 513, 528, 571, 571, 571, 513, 537, 513, 598, 656, 611, 612, 571, 512, 513, 571, 598, 598, 656, 656, 571, 513, 656, 598, 598, 513, 513, 512, 512, 598, 598, 536, 571, 571, 571, 571, 512, 512, 571, 656, 573, 512, 571, 571, 571, 571, 571, 611, 573, 571, 571, 571, 513, 571, 571, 571, 513, 571, 571, 513, 571, 573, 598, 656, 598, 598, 598, 598, 656, 598, 598, 571, 571, 571, 571, 571, 571, 571, 565, 571, 571, 513, 571, 560, 571, 571, 571, 525, 571, 571, 570, 571, 571, 546, 598, 598, 571, 546, 571, 571, 513, 513, 571, 598, 598, 598, 598, 598, 513, 598, 598, 598, 598, 598, 598, 513, 571, 613, 571, 656, 598, 571, 513, 571, 638, 656, 600, 656]",KP14-no,106,275
19,76,"[175, 82, 50, 5, 175, 47, 175, 175, 175, 51, 175, 175, 82, 82, 82, 82, 82, 175, 79, 51, 82, 82, 82, 82, 82, 82, 79, 80, 2, 5, 79, 1124, 1123, 1122, 1125, 1125, 1125, 1125, 1117, 1104, 571, 538, 511, 571, 509, 513, 571, 571, 589, 571, 360, 361, 406, 412, 364, 361, 412, 360, 363, 364, 412, 412, 412, 360, 360, 361, 412, 412, 440, 360, 440, 360, 360, 440, 440, 440, 440, 440, 360, 412, 440, 440, 440, 362, 412, 412, 412, 440, 440, 440, 360, 412, 411, 411, 360, 412, 393, 412, 412, 393, 361, 412, 493, 440, 440, 440, 440, 440, 412, 360, 440, 440, 440, 361, 412, 361, 493, 440, 361, 412, 440, 440, 493, 493, 360, 412, 361, 412, 395, 361, 393, 412, 362, 440, 440, 440, 397, 361, 412, 371, 395, 411, 361, 360, 413, 493, 493, 413, 493, 360, 449, 413, 413, 413, 493, 440, 440, 440, 440, 493, 440, 440, 440, 440, 440, 440, 440, 440, 413]",KP14-no,51,169
